layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.9841269841269842,0.9999999999997194,-0.0008246819673017995,0.0441864786971276,verb
1,0.9342403628117913,0.9999999999996926,-0.0009279361015527292,0.04418443090716723,verb
2,0.9659863945578232,0.9999999999996821,-0.001258075058432721,0.04417626339049182,verb
3,0.9501133786848073,0.9999999999996965,-0.0011772001754306938,0.04417849250196051,verb
4,0.8752834467120182,0.9999999999997045,-0.0023409901463423252,0.044132128490857694,verb
5,0.8435374149659864,0.9999999999996696,-0.0016216221277317888,0.044164412615516124,verb
