layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.9359504132231404,0.9999999999997958,0.0002309146608319903,0.015623293616242163,scientific
1,0.9607438016528926,0.9999999999998014,0.0002453664721594133,0.015623073330630021,scientific
2,0.9628099173553719,0.999999999999797,0.00030054738374772497,0.015622109213228005,scientific
3,0.9752066115702479,0.99999999999979,0.0003461354517640238,0.01562116561748609,scientific
4,0.9566115702479339,0.9999999999997786,0.00011025995475419294,0.01562461096290943,scientific
5,0.9607438016528925,0.9999999999997703,0.000436819295074209,0.015618892851394388,scientific
6,0.9648760330578512,0.999999999999758,0.0004154223398492409,0.015619476600687871,scientific
7,0.9628099173553719,0.999999999999742,0.00038141094434440866,0.015620344128456592,scientific
8,0.9710743801652892,0.9999999999997363,0.0004901017435751599,0.015617311717476087,scientific
9,0.9710743801652892,0.9999999999997317,0.0005355216250011127,0.015615820234269641,scientific
10,0.9710743801652892,0.9999999999997277,0.0006419686833713505,0.015611806468485239,scientific
11,0.9710743801652892,0.9999999999997231,0.0006586491254449569,0.01561111163016316,scientific
12,0.9648760330578513,0.9999999999997173,0.0006693125887712805,0.01561065807896561,scientific
13,0.9669421487603307,0.9999999999997121,0.0006161111155746526,0.015612848301739334,scientific
14,0.9731404958677685,0.9999999999996882,0.0003606995647228889,0.015620836111548464,scientific
15,0.9752066115702479,0.9999999999996764,0.0003999467510371338,0.015619880524388681,scientific
16,0.9669421487603306,0.9999999999996595,0.000604086480047997,0.015613318177903663,scientific
17,0.9752066115702479,0.9999999999996387,0.00046463958148404937,0.015618089993950666,scientific
18,0.9793388429752066,0.9999999999996261,0.0004400901577627996,0.0156188010312206,scientific
19,0.9752066115702479,0.9999999999996128,0.00037226773951265567,0.01562056470585904,scientific
20,0.96900826446281,0.9999999999995979,0.0003365752051924167,0.0156213745275841,scientific
21,0.9648760330578512,0.9999999999995722,0.0002110078846541695,0.015623575156551234,scientific
22,0.9586776859504132,0.9999999999995537,0.00023865171307093185,0.015623177345201916,scientific
23,0.9483471074380165,0.9999999999995401,0.00031335485733004095,0.015621857563464186,scientific
24,0.9524793388429752,0.9999999999995244,0.00026497300598313657,0.015622753096233328,scientific
25,0.9504132231404958,0.9999999999995026,0.00031860859722777413,0.015621751296238514,scientific
26,0.9400826446280992,0.9999999999994834,0.00031651848748466224,0.015621793784544341,scientific
27,0.9297520661157026,0.999999999999461,0.00025991048970432947,0.015622838139630023,scientific
28,0.9297520661157026,0.9999999999994281,0.0001711677167584569,0.015624062423469143,scientific
29,0.9256198347107438,0.9999999999993964,0.00017606804807127925,0.015624007969856956,scientific
30,0.9256198347107438,0.9999999999993501,0.00013021183240824162,0.015624457426687928,scientific
31,0.9173553719008265,0.9999999999992768,0.00013363163110148162,0.015624428552328436,scientific
