attn_proj_mean,attn_proj_high,attn_proj_low,attn_proj_diff,attn_proj_abs_diff,attn_proj_std,mlp_proj_mean,mlp_proj_high,mlp_proj_low,mlp_proj_diff,mlp_proj_abs_diff,mlp_proj_std,total_proj_diff,mlp_freq_fraction,attn_freq_fraction,layer,probe_auroc,dataset
0.06641411038788345,0.09165692447814969,0.04117129629761723,0.050485628180532455,0.050485628180532455,0.03438806070980296,0.1543336135462802,0.27795104896903877,0.03071617812352162,0.24723487084551715,0.24723487084551715,0.15086425736084427,0.2977204988699097,0.8304260931090758,0.16957390688756557,0,0.9359504132231404,scientific
-0.12704819654004817,-0.04434267257024856,-0.20975372050984775,0.16541104793959918,0.16541104793959918,0.1285049827343414,-0.013472613840291305,0.03757661017211987,-0.06452183785270248,0.10209844802482235,0.10209844802482235,0.07726484409004426,0.26750949619537867,0.38166289258763236,0.6183371074086295,1,0.9607438016528926,scientific
0.13652441923001107,0.14694284012158643,0.1261059983384358,0.020836841783150623,0.020836841783150623,0.047026955191772156,0.10606530210114481,0.20401326384549967,0.008117340356789996,0.19589592348870968,0.19589592348870968,0.13583610912983984,0.21673276550472276,0.9038592906895382,0.09614070930584787,2,0.9628099173553719,scientific
0.05449274085335233,0.07764402929977526,0.03134145240692941,0.04630257689284585,0.04630257689284585,0.05871801153085052,0.06843352787836034,0.15524936625794586,-0.01838231050122517,0.17363167675917102,0.17363167675917102,0.11147346967780593,0.21993425379057355,0.7894708253726774,0.2105291746227758,3,0.9752066115702479,scientific
0.016923419566179328,0.045054848842384226,-0.011208009710025574,0.0562628585524098,0.0562628585524098,0.045634505284114356,0.087237571322357,0.19024510051611673,-0.01576995787140277,0.2060150583875195,0.2060150583875195,0.13055740093381588,0.262277916708174,0.785483813469201,0.21451618652698626,4,0.9566115702479339,scientific
-0.02472037456056023,-0.021356641885307802,-0.02808410723581265,0.006727465350504849,0.006727465350504849,0.027901820285202078,0.09429802484359645,0.2067112036839791,-0.01811515399678623,0.22482635768076534,0.22482635768076534,0.13612561610777069,0.23155382316429057,0.9709464293726331,0.02905357062304812,5,0.9607438016528925,scientific
-0.06676961135017491,-0.05677172770747926,-0.07676749499287056,0.0199957672853913,0.0199957672853913,0.031995320076518875,0.08461019331962981,0.2170656612844093,-0.047845274645149705,0.264910935929559,0.264910935929559,0.150653597888647,0.28490670311596855,0.9298164379402645,0.0701835620562256,6,0.9648760330578512,scientific
-0.11652624091046146,-0.07786029534693271,-0.15519218647399022,0.0773318911270575,0.0773318911270575,0.061276017527606454,0.17501021269884248,0.3068936437591798,0.0431267816385052,0.26376686212067463,0.26376686212067463,0.16152539976798835,0.3410987530122849,0.7732859167864902,0.2267140832105781,7,0.9628099173553719,scientific
-0.14165270137979366,-0.12648233207821177,-0.15682307068137555,0.030340738603163775,0.030340738603163775,0.04370643913818289,0.16357969449839876,0.24785875514326747,0.07930063385352999,0.16855812128973746,0.16855812128973746,0.105388568510302,0.1988988594534276,0.8474564478632585,0.15254355213171386,8,0.9710743801652892,scientific
-0.13345247904055835,-0.10674149570101972,-0.160163462380097,0.05342196667907727,0.05342196667907727,0.04257715450374755,0.13799977043188813,0.20382520812190988,0.07217433274186644,0.13165087538004344,0.13165087538004344,0.09129678260090432,0.1850728418634144,0.7113462673106667,0.2886537326839299,9,0.9710743801652892,scientific
-0.09505809151255626,-0.09568272806637206,-0.09443345495874045,-0.0012492731076316071,0.0012492731076316071,0.020722476124875013,0.06313143199297826,0.1396420900750588,-0.013379226089102263,0.15302131616416106,0.15302131616416106,0.09790431139948141,0.15177204289699564,0.991902065620411,0.008097934373106918,10,0.9710743801652892,scientific
-0.024749770790317257,-0.008189393831282811,-0.041310147749351704,0.033120753918068895,0.033120753918068895,0.030300937564351763,-0.010944790371087778,0.06341871255811393,-0.08530829330028948,0.14872700585840343,0.14872700585840343,0.09554390658115167,0.18184775965226344,0.8178654828654536,0.18213451712904719,11,0.9710743801652892,scientific
-0.09471128161470763,-0.06736695995781035,-0.12205560327160492,0.05468864331379457,0.05468864331379457,0.043788888697787264,0.15353517607475298,0.23551159495681032,0.07155875719269567,0.16395283776411465,0.16395283776411465,0.10639412895347711,0.2186414813095773,0.7498706876438646,0.25012931235156177,12,0.9648760330578513,scientific
-0.09558315597079434,-0.08964703938883574,-0.10151927255275295,0.011872233163917209,0.011872233163917209,0.034008844230095696,0.018699681506022265,0.11113089450265941,-0.07373153149061487,0.1848624259932743,0.1848624259932743,0.11025202168082485,0.19673465921353112,0.93965357596004,0.06034642403487693,13,0.9669421487603307,scientific
