layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.7455621301775148,0.9999999999993903,1.2174738554855357e-05,0.015624995256813469,legal
1,0.7633136094674557,0.9999999999992867,8.075130064927598e-06,0.015624997913341498,legal
2,0.7751479289940828,0.9999999999991741,-2.255115383759351e-05,0.015624983726233362,legal
3,0.7988165680473372,0.999999999999051,-1.101602240251469e-05,0.015624996116696701,legal
4,0.8284023668639053,0.9999999999989658,-1.9695623522491255e-05,0.015624987586616162,legal
5,0.8816568047337279,0.9999999999988934,-4.084557648472944e-05,0.015624946612335716,legal
6,0.8994082840236687,0.9999999999988366,-5.4304801301861616e-05,0.015624905631330626,legal
7,0.8816568047337279,0.9999999999988144,-5.3671671762290036e-05,0.015624907818962369,legal
8,0.9112426035502958,0.9999999999987912,-5.100723511137505e-05,0.015624916744142224,legal
9,0.9053254437869822,0.999999999998771,-3.546652899821774e-05,0.015624959747939217,legal
10,0.9230769230769231,0.9999999999987603,-3.4677822754902314e-05,0.01562496151828873,legal
11,0.8994082840236687,0.9999999999987399,-4.044254306405083e-05,0.015624947660715387,legal
12,0.9230769230769231,0.9999999999987225,-3.547112328243507e-05,0.015624959737509382,legal
13,0.9171597633136095,0.9999999999987043,-3.3368658101884656e-05,0.015624964368984137,legal
14,0.9171597633136095,0.9999999999986996,-1.863944782857019e-05,0.015624988882247233,legal
15,0.8994082840236687,0.9999999999986692,-3.294210080568655e-05,0.01562496527411644,legal
16,0.893491124260355,0.999999999998653,-4.7581441637808495e-05,0.015624927552016167,legal
17,0.8994082840236686,0.9999999999986399,-4.4180146647027774e-05,0.015624937539522458,legal
18,0.9053254437869822,0.9999999999986255,-2.9930886784457314e-05,0.015624971332496749,legal
19,0.9112426035502958,0.9999999999985982,-2.581211029202145e-05,0.015624978679482345,legal
20,0.8994082840236686,0.9999999999985766,-3.448923063592766e-05,0.01562496193570644,legal
21,0.893491124260355,0.9999999999985553,-4.109891935760471e-05,0.01562494594800642,legal
22,0.9230769230769231,0.9999999999985356,-3.369868909597885e-05,0.015624963660682164,legal
23,0.9230769230769231,0.9999999999985206,-5.1430613092843136e-05,0.0156249153562928,legal
24,0.9053254437869823,0.9999999999984909,-6.946444335603096e-05,0.01562484558932895,legal
25,0.8994082840236687,0.9999999999984707,-0.00010325105082403661,0.015624658851307986,legal
26,0.9053254437869823,0.9999999999984421,-0.00012619938257626403,0.015624490350570694,legal
27,0.9053254437869823,0.9999999999984165,-0.00015317527273998307,0.01562424917668199,legal
28,0.8816568047337278,0.999999999998385,-0.00016888731436764853,0.015624087239716027,legal
29,0.8579881656804733,0.9999999999983648,-0.0001904830316407682,0.015623838875700763,legal
30,0.8579881656804733,0.9999999999983334,-0.00021288286138632334,0.015623549721062568,legal
31,0.7988165680473372,0.9999999999982823,-0.00035510784845718923,0.015620964228085453,legal
