layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.8553719008264463,0.9999999999994794,-1.7349031440979675e-06,0.01562499990367542,scientific
1,0.8925619834710744,0.9999999999993198,4.823333165118775e-06,0.015624999255523984,scientific
2,0.8946280991735538,0.9999999999992064,-2.0802651183338407e-05,0.015624986151971986,scientific
3,0.9090909090909092,0.9999999999990851,-1.548465746497118e-05,0.015624992327196082,scientific
4,0.9173553719008265,0.9999999999990157,-2.2628280831691853e-05,0.015624983614725039,scientific
5,0.9256198347107438,0.9999999999989728,-4.3633578336612304e-05,0.015624939075412101,scientific
6,0.9400826446280992,0.9999999999989364,-4.6570913266518924e-05,0.015624930596630445,scientific
7,0.944214876033058,0.9999999999989024,-5.25756675465049e-05,0.0156249115453063,scientific
8,0.9545454545454546,0.9999999999988781,-7.017763261975793e-05,0.015624842402383843,scientific
9,0.9400826446280992,0.9999999999988525,-8.226844746238066e-05,0.01562478341936271,scientific
10,0.9421487603305785,0.9999999999988333,-7.209577766392142e-05,0.01562483366945944,scientific
11,0.9524793388429752,0.9999999999988104,-7.891438325880867e-05,0.015624800719354279,scientific
12,0.9566115702479339,0.9999999999987773,-8.36841915795537e-05,0.015624775900968394,scientific
13,0.9524793388429752,0.9999999999987574,-9.088339382402687e-05,0.015624735684424244,scientific
14,0.9545454545454546,0.9999999999987448,-9.717336178361735e-05,0.015624697831866919,scientific
15,0.9483471074380165,0.9999999999987221,-0.00010308720069348109,0.015624659933209082,scientific
16,0.9483471074380165,0.9999999999987,-9.389116293175075e-05,0.015624717899817859,scientific
17,0.9462809917355373,0.9999999999986714,-8.162426733496156e-05,0.015624786797852099,scientific
18,0.9442148760330579,0.9999999999986185,-5.574489508609358e-05,0.015624900559875487,scientific
19,0.9380165289256198,0.999999999998582,-4.775170272637248e-05,0.015624927032603843,scientific
20,0.9297520661157025,0.9999999999985584,-4.17836342970969e-05,0.015624944131970553,scientific
21,0.9276859504132231,0.9999999999985336,-4.610214626563985e-05,0.015624931986776574,scientific
22,0.9173553719008265,0.9999999999985144,-3.326393686065086e-05,0.015624964592272814,scientific
23,0.9152892561983471,0.9999999999984944,-3.564499218148453e-05,0.015624959341828613,scientific
24,0.9214876033057852,0.9999999999984658,-5.123941739125111e-05,0.015624915984457526,scientific
25,0.9173553719008265,0.9999999999984384,-8.484286558503844e-05,0.015624769652298776,scientific
26,0.9152892561983471,0.9999999999984084,-0.00011949806357437062,0.015624543040102799,scientific
27,0.9235537190082644,0.9999999999983779,-0.00015343951321637972,0.015624246583915393,scientific
28,0.9173553719008265,0.9999999999983511,-0.00016535042552292954,0.015624125071055154,scientific
29,0.9028925619834711,0.9999999999983282,-0.0001829649471163918,0.01562392872574982,scientific
30,0.9008264462809918,0.9999999999982835,-0.00021381003054303326,0.01562353706015386,scientific
31,0.8946280991735537,0.9999999999982623,-0.0004920098328071009,0.01561725172120795,scientific
