layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.943289224952741,0.9999999999994121,2.856104163147225e-06,0.015624999738956221,emotion
1,0.941398865784499,0.9999999999993282,9.36677702499844e-06,0.015624997192420872,emotion
2,0.943289224952741,0.9999999999992641,-1.324718959560557e-05,0.015624994384370462,emotion
3,0.9470699432892249,0.9999999999991974,-1.5801245763632108e-05,0.015624992010245652,emotion
4,0.9527410207939508,0.99999999999915,-3.322133015273332e-05,0.015624964682929938,emotion
5,0.9584120982986767,0.9999999999991207,-5.813630059907463e-05,0.015624891845069627,emotion
6,0.9603024574669187,0.9999999999990892,-4.9018405989354274e-05,0.01562492311006456,emotion
7,0.9659735349716445,0.9999999999990645,-3.291784693758556e-05,0.015624965325238205,emotion
8,0.9678638941398865,0.9999999999990554,-1.9563031761821948e-05,0.015624987753189667,emotion
9,0.9792060491493384,0.9999999999990332,-2.376837727599131e-05,0.01562498192203017,emotion
10,0.9754253308128544,0.9999999999990147,-2.4244155571634954e-05,0.015624981191042744,emotion
11,0.9716446124763705,0.9999999999990071,-4.871996956342807e-05,0.01562492404346597,emotion
12,0.9810964083175804,0.9999999999989901,-4.837674668166448e-05,0.015624925109896923,emotion
13,0.9829867674858224,0.9999999999989734,-6.049988887877872e-05,0.015624882871975214,emotion
14,0.9810964083175804,0.9999999999989602,-7.880673799252549e-05,0.015624801262657369,emotion
15,0.9754253308128544,0.9999999999989397,-8.550493796834668e-05,0.015624766043210546,emotion
16,0.9697542533081285,0.9999999999989265,-9.738035974006858e-05,0.015624696543133653,emotion
17,0.9773156899810964,0.9999999999989053,-9.133189817633409e-05,0.015624733069202845,emotion
18,0.9735349716446124,0.9999999999988742,-8.067438954589029e-05,0.015624791731166267,emotion
19,0.9678638941398866,0.9999999999988463,-7.66560215141069e-05,0.01562481196219021,emotion
20,0.9659735349716446,0.9999999999988215,-7.854975158486842e-05,0.015624802556702934,emotion
21,0.9621928166351607,0.9999999999987927,-7.089823113992961e-05,0.015624839149259481,emotion
22,0.9659735349716445,0.9999999999987652,-6.834036821021984e-05,0.015624850546276273,emotion
23,0.9640831758034026,0.9999999999987439,-8.229523490496375e-05,0.01562478327829537,emotion
24,0.9565217391304349,0.9999999999987278,-9.65604287633394e-05,0.015624701631806475,emotion
25,0.9395085066162572,0.999999999998705,-0.00011141798389999313,0.01562460274798151,emotion
26,0.9262759924385634,0.9999999999986802,-0.0001227130104615387,0.015624518121094777,emotion
27,0.9319470699432892,0.9999999999986623,-0.00015025686113695366,0.015624277515297408,emotion
28,0.9319470699432892,0.9999999999986499,-0.0001661142353696922,0.015624116968972944,emotion
29,0.9243856332703214,0.9999999999986393,-0.00018485386676174762,0.015623906491248557,emotion
30,0.9206049149338374,0.9999999999986221,-0.00021010213322408862,0.015623587363116765,emotion
31,0.9357277882797732,0.9999999999986079,-0.0003567174945512085,0.01562092755339456,emotion
