layer,n_neurons,total_abs_diff_proj,top_1pct_mass,top_5pct_mass,top_10pct_mass,top_25pct_mass,top_50pct_mass
0,8192,0.7466681783966311,0.10168687006494247,0.21517667619193254,0.3127145408261507,0.5238792257763204,0.7598253436393226
1,8192,0.6054564005418747,0.08608302427427028,0.20034645292782244,0.3006093037860458,0.5165259365373662,0.7575468632681309
2,8192,0.6103875320964424,0.11350960505300943,0.24381104228771194,0.34535342736585867,0.5531457178724667,0.7785162416591521
3,8192,0.5265479557243885,0.1112369644577099,0.23713315705970162,0.33747460273782404,0.5462095475041943,0.775497940583029
4,8192,0.4697506535030153,0.10420427464506007,0.22666818089626345,0.3272295746270325,0.5393709989664,0.7722659587487134
5,8192,0.407565526831414,0.09703184489225498,0.21180481249164992,0.3096702031262338,0.5236263851128261,0.7625761395702386
6,8192,0.3544099974367994,0.06816983902727317,0.18229390836561116,0.28355695404927245,0.5027977077815456,0.7500865583767405
7,8192,0.3544292847900129,0.08768312828470974,0.197744531170232,0.2977726871814644,0.5157580361920122,0.7581266268230695
8,8192,0.3478990924391093,0.09704092306627327,0.20930974195549815,0.30788914314337557,0.5220614941750111,0.7606080287446525
9,8192,0.37871635267681236,0.13834354102465524,0.25714177899290463,0.3549292584425252,0.5586752558550266,0.7815286074616669
10,8192,0.4595502815873034,0.20252131497858242,0.326254827321115,0.42075293138928754,0.6103512685178889,0.8097139726110493
11,8192,0.4603893860064156,0.1433750088868888,0.28483899242828814,0.38863019694067014,0.5930131104089427,0.8042448806097099
12,8192,0.5136937530563301,0.193329488612246,0.3306837361394597,0.4251700706411695,0.6137951984472644,0.8123074839622468
13,8192,0.6083810262312941,0.15349055398053582,0.2884131455880068,0.3863359618110152,0.5857579643480259,0.7973089387559329
14,8192,0.693885577690379,0.09765855471677364,0.23494728511781007,0.34084810351657946,0.5559864600215635,0.7840715416447877
15,8192,1.0143411620586358,0.23041280744972345,0.3631033873897928,0.455331007111476,0.6367322013074727,0.8247092844116016
