layer,pct,mean_jaccard,std_jaccard,n_pairs
0,5.0,0.05990241422844619,0.013848595751421404,10
1,5.0,0.053470502411530244,0.017703065092599966,10
2,5.0,0.06436354141226619,0.01987424407940325,10
3,5.0,0.05996860052212245,0.016185310079138003,10
4,5.0,0.06724557840226877,0.019024686638132223,10
5,5.0,0.05575932440775376,0.012134525753327064,10
6,5.0,0.04039769096171999,0.00930005292122616,10
7,5.0,0.05252852633453732,0.005842694031434453,10
8,5.0,0.05834359216840416,0.0168369756378944,10
9,5.0,0.07166126031209488,0.01735082283651356,10
10,5.0,0.09240293780713096,0.02509247568185843,10
11,5.0,0.09711300747215679,0.03400286118168436,10
12,5.0,0.09932015265162894,0.022303939977487662,10
13,5.0,0.085830211148099,0.015850040586250603,10
14,5.0,0.07775148474508407,0.018125242879670603,10
15,5.0,0.1069274127649678,0.013968511017376985,10
