layer,n_neurons,total_abs_diff_proj,top_1pct_mass,top_5pct_mass,top_10pct_mass,top_25pct_mass,top_50pct_mass
0,2048,1.4680212065926765,0.1252299592066516,0.24913083231994038,0.34572547937568116,0.5531363880942093,0.7820848732820764
1,2048,1.7976863016470417,0.06990652134094591,0.21247394891866705,0.3256636378102472,0.5629772710415151,0.7991076101176877
2,2048,1.4864162154584282,0.08397840450633748,0.22505522675648837,0.3443759977135331,0.5834195658496335,0.8128381547308287
3,2048,2.370310998516658,0.08941169522114663,0.25020438885241153,0.37605007087238446,0.6105697051648548,0.8313055255924977
4,2048,2.4448123505079478,0.0777717829655748,0.22588211580151216,0.3510311659609146,0.5994243713450921,0.8325484030489686
5,2048,2.050094373318978,0.0833342394767356,0.25251593743555745,0.38181150376681844,0.6216372929407701,0.8355985711850985
