attn_proj_mean,attn_proj_high,attn_proj_low,attn_proj_diff,attn_proj_abs_diff,attn_proj_std,mlp_proj_mean,mlp_proj_high,mlp_proj_low,mlp_proj_diff,mlp_proj_abs_diff,mlp_proj_std,total_proj_diff,mlp_freq_fraction,attn_freq_fraction,layer,probe_auroc,dataset
0.012793201530835765,0.04175718665553657,-0.01617078359386504,0.05792797024940161,0.05792797024940161,0.044254318270109574,0.09267003240534032,0.20120283150078622,-0.015862766690105515,0.21706559819089172,0.21706559819089172,0.13530668144659758,0.2749935685001233,0.7893479088302087,0.21065209116615505,0,0.8047337278106509,legal
-0.006272511628934045,0.02725674941156313,-0.03980177266943122,0.06705852208099435,0.06705852208099435,0.05933477010889305,-0.0004256120955933936,0.047283934057967957,-0.048135158249154736,0.0954190923071227,0.0954190923071227,0.061220643147064234,0.16247761427973118,0.5872753158389183,0.41272468415492697,1,0.834319526627219,legal
0.05824249248488219,0.0846489800706895,0.031836004899074864,0.05281297517161463,0.05281297517161463,0.04328694497616422,0.026927272196377455,0.07467379165327508,-0.020819247260520164,0.09549303891379524,0.09549303891379524,0.07541152604377516,0.1483060137560565,0.6438918846416885,0.3561081153515688,2,0.9171597633136094,legal
0.012179339045924059,0.02852316163898206,-0.004164483547133948,0.032687645186116006,0.032687645186116006,0.02560665051179066,0.03304074383875271,0.06815047259156738,-0.0020689849140619575,0.07021945750562934,0.07021945750562934,0.05476826543221763,0.10290710255626942,0.6823577349688575,0.31764226502142484,3,0.923076923076923,legal
-0.003193375817033286,-0.0017643644385023963,-0.004622387195564176,0.00285802275706178,0.00285802275706178,0.019195208723652296,0.023758777026298587,0.050180125844819956,-0.002662571792222799,0.05284269763704275,0.05284269763704275,0.041862157025302715,0.05570071980285379,0.9486896625790684,0.05131033740297851,4,0.8994082840236687,legal
-0.0017492710946829864,-0.001372211560631788,-0.0021263306287341846,0.0007541190681023965,0.0007541190681023965,0.015783015758605,0.019559032461595023,0.04671404177302203,-0.007595976849831982,0.05431001862285401,0.05431001862285401,0.038835632689618496,0.05506413763293468,0.9863047148159998,0.01369528516583954,5,0.9112426035502958,legal
0.0028562322387683794,0.008924582382075759,-0.003212117904539,0.012136700286614758,0.012136700286614758,0.01733165117456494,0.03260151707426974,0.05803589680951182,0.007167137339027656,0.050868759470484165,0.050868759470484165,0.03493884089112968,0.06300545992273139,0.8073706574920331,0.19262934249209515,6,0.9112426035502958,legal
-0.0008890300355565724,-0.0025898088633130767,0.0008117487921999322,-0.003401557655513009,0.003401557655513009,0.010636084433737933,0.02232414859207166,0.04521891201060771,-0.0005706148264643873,0.045789526837072096,0.045789526837072096,0.036180273544210315,0.04238796920504775,0.9308501186438246,0.0691498813358465,7,0.9053254437869822,legal
-0.010609843302314206,-0.010550636879450345,-0.010669049725178067,0.00011841284572772226,0.00011841284572772226,0.007418097370206845,0.03195402363505479,0.05745003445100289,0.006458012819106686,0.05099202163189621,0.05099202163189621,0.038888334177650974,0.051110434383173454,0.997683196240931,0.0023168037395034555,8,0.8934911242603549,legal
-0.002480341244355344,-0.0008913165264783586,-0.0040693659622323295,0.0031780494357539707,0.0031780494357539707,0.008346891127777957,0.01145685825223207,0.034701650572365565,-0.011787934067901422,0.046489584640266986,0.046489584640266986,0.03133800568497423,0.04966763392904511,0.9360136737774608,0.06398632620240544,9,0.8994082840236686,legal
-0.001807015118050488,-0.0007409947021134973,-0.002873035533987478,0.0021320408318739807,0.0021320408318739807,0.005769741998008845,-0.004278806080801818,0.011903030428005485,-0.020460642589609123,0.03236367301761461,0.03236367301761461,0.03108174776212011,0.034495713690831216,0.9381940364500159,0.06180596352099503,10,0.8757396449704142,legal
-0.006121836100288742,-0.005325558815378268,-0.006918113385199216,0.0015925545698209486,0.0015925545698209486,0.004907026766837388,0.005481771058513795,0.023337192564746773,-0.012373650447719188,0.035710843012465965,0.035710843012465965,0.027378436166314066,0.0373033976256137,0.9573080557269544,0.042691944246238386,11,0.8698224852071006,legal
-0.002610515304522991,-0.002299718100568246,-0.002921312508477736,0.0006215944079094901,0.0006215944079094901,0.0030958801957646424,0.0017682781137515486,0.01726370546889241,-0.013727149241389316,0.030990854710281728,0.030990854710281728,0.028139803191674945,0.03161244913232115,0.9803370372676335,0.019662962700733425,12,0.8698224852071006,legal
0.005990668716760987,0.006955454558683256,0.005025882874838719,0.0019295716838445371,0.0019295716838445371,0.0074299623474824075,0.012357848263179134,0.0325714325751241,-0.00785573604876583,0.040427168623889925,0.040427168623889925,0.03492355509744756,0.04235674037774968,0.9544447549367572,0.04555524503963391,13,0.8698224852071006,legal
0.013010602867457052,0.012920957775923725,0.013100247958990376,-0.00017929018306665073,0.00017929018306665073,0.004232180009493113,0.013020707330053755,0.0339259963805752,-0.007884581720467687,0.04181057810104289,0.04181057810104289,0.03404561689536567,0.041631287984194396,0.9957301560736205,0.004269843902564244,14,0.8698224852071006,legal
-0.002845992599116398,0.0009286064573143868,-0.006620591655547184,0.007549198112861571,0.007549198112861571,0.010970967000568719,0.04206799176338828,0.06680581665908197,0.0173301668676946,0.04947564979138737,0.04947564979138737,0.038645194196416925,0.05702484788769154,0.867615637898673,0.13238436208379073,15,0.8816568047337279,legal
-0.021898857373075814,-0.021322719815527857,-0.02247499493062377,0.0011522751150959132,0.0011522751150959132,0.01820300321674729,0.013038450954624014,0.04741754534514041,-0.02134064343589239,0.06875818878103279,0.06875818878103279,0.05025013079474685,0.06991046402947995,0.9835178447994357,0.016482155186260155,16,0.9112426035502958,legal
-0.01370420597791756,-0.014673247832812883,-0.012735164123022238,-0.0019380837097906448,0.0019380837097906448,0.0203507767926024,0.07411268569053811,0.10539221089852732,0.042833160482548926,0.0625590504159784,0.0625590504159784,0.053050560083992435,0.06062096682041304,0.9699508553824833,0.03004914460201198,17,0.8994082840236686,legal
-0.06583937688404143,-0.06134629767252084,-0.07033245609556203,0.008986158423041193,0.008986158423041193,0.0176373713824873,-0.003624688339712915,0.027490141819339745,-0.034739518498765574,0.06222966031810532,0.06222966031810532,0.04548354111087414,0.07121581871316168,0.8738179440641174,0.12618205592184056,18,0.9112426035502958,legal
-0.02695965858395468,-0.0208517756950129,-0.03306754147289647,0.01221576577788357,0.01221576577788357,0.025756948358411164,0.0021217272460948206,0.030827606078447214,-0.026584151586257574,0.057411757664704785,0.057411757664704785,0.04055113313098911,0.06962752346716358,0.8245555037042114,0.17544449628142644,19,0.9053254437869822,legal
-0.03331511116701919,-0.018004874379801163,-0.048625347954237216,0.030620473574436053,0.030620473574436053,0.029036338770535228,-0.05455765611474461,-0.04141290918461872,-0.06770240304487052,0.026289493860251797,0.026289493860251797,0.028900126100589188,0.05690996792825179,0.4619488473607145,0.538051152621714,20,0.923076923076923,legal
-0.05596278507142487,-0.052000321723266775,-0.059925248419582966,0.007924926696316191,0.007924926696316191,0.019416133433125086,-0.01681751208569623,0.004059315500263256,-0.037694339671655724,0.04175365517191898,0.04175365517191898,0.038869445183040335,0.04967858194015715,0.840475987857779,0.1595240121220916,21,0.9349112426035502,legal
-0.029963980093813132,-0.024717858460305532,-0.03521010172732073,0.0104922432670152,0.0104922432670152,0.01691063989384896,-0.00760171216369401,0.017303356858300152,-0.03250678118568817,0.049810138043988324,0.049810138043988324,0.04398155644703787,0.060302380966956615,0.8260061536587003,0.17399384632471654,22,0.9289940828402367,legal
-0.003999186802408157,-0.0026585593433076132,-0.005339814261508702,0.0026812549182010886,0.0026812549182010886,0.00782489057606343,-0.017769021092305402,0.007158606867369254,-0.04269664905198006,0.04985525591934932,0.04985525591934932,0.037982927094475025,0.05253651107484769,0.9489639704577864,0.051036029523179316,23,0.9171597633136095,legal
-0.004274994463993347,-0.00036868884176294043,-0.008181300086223753,0.007812611244460813,0.007812611244460813,0.010436619978492313,-0.006094645966527246,0.021440035666323357,-0.03362932759937784,0.05506936326570119,0.05506936326570119,0.039521496469710427,0.06288197439472676,0.8757575393235462,0.12424246066055095,24,0.9112426035502958,legal
-0.012866665395165455,-0.008938802833106522,-0.01679452795722439,0.007855725124117868,0.007855725124117868,0.0075088155295235425,-0.004545214890824267,0.014720212503388386,-0.023810642285036918,0.0385308547884253,0.0385308547884253,0.033239439781282284,0.046386579963816246,0.8306465977927318,0.16935340218571032,25,0.8994082840236687,legal
-0.018103102510961408,-0.018319506558684116,-0.017886698463238697,-0.00043280809544541873,0.00043280809544541873,0.005082951729697234,0.01434857680965823,0.03683579361560645,-0.008138639996289996,0.04497443361189645,0.04497443361189645,0.03454321646952965,0.04454162563535255,0.9904683024081178,0.00953169756985936,26,0.9112426035502958,legal
-0.014869786024475721,-0.011740606494823707,-0.017998965554127732,0.006258359059304025,0.006258359059304025,0.012747374258545314,0.013391875879577936,0.050154750944510954,-0.02337099918535508,0.07352575012986604,0.07352575012986604,0.048483965796578286,0.07978410933314797,0.9215588276433987,0.07844117234406744,27,0.923076923076923,legal
-0.09447941933142238,-0.0415224321119365,-0.14743640655090826,0.10591397443897176,0.10591397443897176,0.08356434514057466,0.023888392933495477,0.08335242097721528,-0.03557563511022431,0.11892805608743959,0.11892805608743959,0.08012024219083871,0.22484203055924382,0.5289405001745909,0.47105949982096157,28,0.9112426035502958,legal
-0.031034782925626114,-0.023990060949177876,-0.03807950490207436,0.014089443952896484,0.014089443952896484,0.014575250466478958,-0.010666076879195277,0.025353047023983718,-0.046685200782374266,0.07203824780635798,0.07203824780635798,0.05649501754889034,0.08612769144800177,0.8364121496125084,0.16358785037588072,29,0.9053254437869822,legal
-0.018628327469321054,-0.011023934886477143,-0.026232720052164968,0.015208785165687825,0.015208785165687825,0.018060286425270494,-0.02695761544411861,0.048492479965706596,-0.1024077108539438,0.1509001908196504,0.1509001908196504,0.1064048879437534,0.16610897586933135,0.9084409191232465,0.09155908087073322,30,0.8757396449704142,legal
-0.1445677161592293,-0.11398486188355839,-0.17515057043490023,0.061165708551341846,0.061165708551341846,0.06825465099120981,-1.4493824121192418,-1.1575530064304778,-1.7412118178080058,0.5836588113775281,0.5836588113775281,0.4242218142039753,0.6448245205026586,0.9051436372813582,0.09485636271709105,31,0.757396449704142,legal
