layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.9909297052154195,0.9999999999997965,-7.168633201500161e-05,0.015624835553365126,verb
1,0.9886621315192744,0.9999999999997964,-6.521986349276903e-05,0.015624863883224921,verb
2,0.9818594104308389,0.9999999999997936,-7.362227199396305e-05,0.0156248265513882,verb
3,0.9841269841269841,0.999999999999793,-5.482202852590103e-05,0.015624903825146806,verb
4,0.9750566893424036,0.9999999999997939,-5.4062162054393015e-05,0.015624906472761152,verb
5,0.9682539682539684,0.9999999999997925,-6.564191576813343e-05,0.01562486211583299,verb
6,0.9682539682539683,0.9999999999997907,-5.369551881079606e-05,0.01562490773704464,verb
7,0.9705215419501134,0.9999999999997897,-5.4154256967723694e-05,0.015624906153841362,verb
8,0.9727891156462585,0.9999999999997893,-4.7245796685840846e-05,0.015624928570543697,verb
9,0.9682539682539684,0.9999999999997885,-5.3005944617508344e-05,0.01562491009157275,verb
10,0.9705215419501134,0.9999999999997877,-4.467971724801152e-05,0.015624936118997833,verb
11,0.9727891156462585,0.9999999999997877,-5.084753387866859e-05,0.01562491726468319,verb
12,0.9727891156462585,0.999999999999788,-5.453720565430951e-05,0.015624904821889184,verb
13,0.9750566893424036,0.9999999999997875,-5.0746976640537436e-05,0.015624917591598942,verb
14,0.9727891156462585,0.9999999999997874,-4.8782577362715805e-05,0.015624923848135774,verb
15,0.9659863945578231,0.9999999999997868,-3.967557579589247e-05,0.015624949627073401,verb
16,0.9682539682539681,0.9999999999997856,-4.083710070669098e-05,0.015624946634504104,verb
17,0.9682539682539681,0.9999999999997838,-3.4146104496509246e-05,0.015624962689345604,verb
18,0.9614512471655329,0.9999999999997813,-2.5264741311554616e-05,0.015624979574154318,verb
19,0.9637188208616779,0.9999999999997798,-2.5453776972493954e-05,0.015624979267350413,verb
20,0.9659863945578231,0.9999999999997784,-1.6310595493102255e-05,0.015624991486857408,verb
21,0.9705215419501133,0.999999999999777,-2.7677510912983347e-05,0.015624975486549756,verb
22,0.9682539682539684,0.9999999999997744,-2.416468767682913e-05,0.015624981314157125,verb
23,0.961451247165533,0.9999999999997703,-1.534749778765764e-05,0.015624992462532567,verb
24,0.9569160997732427,0.9999999999997674,-9.951175739884898e-06,0.015624996831167288,verb
25,0.9614512471655329,0.9999999999997652,-1.1203701564503317e-05,0.015624995983262096,verb
26,0.961451247165533,0.9999999999997633,-6.6118560008393925e-06,0.015624998601063766,verb
27,0.9546485260770976,0.9999999999997596,-1.4831872169884498e-05,0.015624992960492832,verb
28,0.9682539682539683,0.9999999999997434,-2.064508261102581e-05,0.015624986360968084,verb
29,0.9705215419501133,0.9999999999997412,-1.9217263625908107e-05,0.015624988182288408,verb
30,0.963718820861678,0.9999999999997337,-2.2583941064342613e-05,0.015624983678886706,verb
31,0.8344671201814058,0.9999999999997178,-4.355777217836226e-05,0.015624939286933088,verb
