layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.9545454545454546,0.9999999999998025,3.639560022775622e-05,0.015624957611468508,scientific
1,0.9318181818181819,0.9999999999998013,-6.190777802603779e-05,0.015624877357180211,scientific
2,0.9648760330578512,0.9999999999998,-8.076144507162804e-05,0.015624791281450525,scientific
3,0.9648760330578513,0.9999999999997976,-5.531491332716847e-05,0.015624902088021699,scientific
4,0.96900826446281,0.9999999999998004,-9.14932259563747e-05,0.015624732125367994,scientific
5,0.9607438016528926,0.9999999999998005,-0.00010219187946687331,0.0156246658146558,scientific
6,0.9566115702479339,0.9999999999998007,-0.00012700056270785877,0.015624483858898334,scientific
7,0.9524793388429752,0.9999999999998013,-0.00013972672962667327,0.01562437523361913,scientific
8,0.9462809917355371,0.9999999999998014,-0.00013480206247573853,0.015624418498102748,scientific
9,0.9442148760330578,0.999999999999801,-0.0001292736121338537,0.015624465217507726,scientific
10,0.9442148760330578,0.9999999999998004,-0.00013509071839194056,0.015624416005013015,scientific
11,0.9442148760330579,0.9999999999997999,-0.00014212563539646656,0.015624353596346488,scientific
12,0.9421487603305785,0.9999999999997994,-0.00013738711414731448,0.015624395981309751,scientific
13,0.9380165289256199,0.9999999999997992,-0.00014066859427537364,0.0156243667822567,scientific
14,0.9359504132231404,0.9999999999997985,-0.0001173711530512756,0.015624559162175842,scientific
15,0.9297520661157025,0.9999999999997958,-9.704844644666726e-05,0.015624698608259381,scientific
16,0.9380165289256199,0.9999999999997906,-6.092833809490233e-05,0.015624881207148895,scientific
17,0.9380165289256199,0.9999999999997874,-4.570740279479196e-05,0.015624933146520208,scientific
18,0.9524793388429751,0.9999999999997836,-5.447631769625789e-05,0.015624905034293956,scientific
19,0.9524793388429751,0.9999999999997814,-6.112041309488985e-05,0.015624880456982588,scientific
20,0.9524793388429752,0.9999999999997787,-6.159929483579338e-05,0.015624878576384766,scientific
21,0.9504132231404958,0.9999999999997796,-9.17365554357353e-05,0.01562473069861651,scientific
22,0.9504132231404958,0.9999999999997768,-9.536666571852647e-05,0.015624708963656277,scientific
23,0.9545454545454546,0.9999999999997744,-9.878353156446651e-05,0.015624687734920706,scientific
24,0.9442148760330579,0.9999999999997706,-8.688369961328191e-05,0.015624758437256863,scientific
25,0.9338842975206613,0.9999999999997679,-8.995758356197039e-05,0.015624741042111588,scientific
26,0.9338842975206613,0.9999999999997665,-8.256835400184383e-05,0.015624781837414673,scientific
27,0.9359504132231404,0.9999999999997629,-7.729597809783136e-05,0.015624808809443209,scientific
28,0.9256198347107438,0.9999999999997459,-5.1771699125256456e-05,0.01562491422987805,scientific
29,0.9256198347107438,0.9999999999997408,-5.83426329346549e-05,0.015624891076006118,scientific
30,0.9173553719008265,0.9999999999997324,-5.66440777666634e-05,0.015624897326009005,scientific
31,0.8574380165289257,0.9999999999997009,-6.961835174256278e-05,0.0156248449043488,scientific
