condition,ablate_layer,ablate_mode,rank,direction_type,layer,ablated_auroc,clean_auroc,auroc_drop,cosine_dist,euclidean_dist,output_kl
clean,-1,none,0,none,0,0.9354338842975206,0.9354338842975206,0.0,0.0,0.0,0.0
clean,-1,none,0,none,1,0.9518336776859504,0.9518336776859504,0.0,0.0,0.0,0.0
clean,-1,none,0,none,2,0.9585485537190082,0.9585485537190082,0.0,0.0,0.0,0.0
clean,-1,none,0,none,3,0.9701704545454546,0.9701704545454546,0.0,0.0,0.0,0.0
clean,-1,none,0,none,4,0.9736570247933884,0.9736570247933884,0.0,0.0,0.0,0.0
clean,-1,none,0,none,5,0.9709452479338843,0.9709452479338843,0.0,0.0,0.0,0.0
clean,-1,none,0,none,6,0.9683626033057852,0.9683626033057852,0.0,0.0,0.0,0.0
clean,-1,none,0,none,7,0.9740444214876034,0.9740444214876034,0.0,0.0,0.0,0.0
clean,-1,none,0,none,8,0.9740444214876034,0.9740444214876034,0.0,0.0,0.0,0.0
clean,-1,none,0,none,9,0.9727530991735537,0.9727530991735537,0.0,0.0,0.0,0.0
clean,-1,none,0,none,10,0.9732696280991735,0.9732696280991735,0.0,0.0,0.0,0.0
clean,-1,none,0,none,11,0.965779958677686,0.965779958677686,0.0,0.0,0.0,0.0
clean,-1,none,0,none,12,0.9697830578512396,0.9697830578512396,0.0,0.0,0.0,0.0
clean,-1,none,0,none,13,0.9598398760330578,0.9598398760330578,0.0,0.0,0.0,0.0
clean,-1,none,0,none,14,0.9642303719008263,0.9642303719008263,0.0,0.0,0.0,0.0
clean,-1,none,0,none,15,0.9486053719008265,0.9486053719008265,0.0,0.0,0.0,0.0
single_probe,0,single,1,probe,0,0.9354338842975206,0.9354338842975206,0.0,0.08608547876401407,0.5463799834251404,0.002885475754737854
single_probe,0,single,1,probe,1,0.8057851239669421,0.9518336776859504,0.14604855371900827,0.05443058005663104,0.3860315680503845,0.002885475754737854
single_probe,0,single,1,probe,2,0.8925619834710745,0.9585485537190082,0.06598657024793364,0.04623004412719922,0.419242262840271,0.002885475754737854
single_probe,0,single,1,probe,3,0.9346590909090909,0.9701704545454546,0.035511363636363646,0.0507148662764868,0.4165699779987335,0.002885475754737854
single_probe,0,single,1,probe,4,0.9341425619834711,0.9736570247933884,0.03951446280991733,0.040338871647467855,0.43780627846717834,0.002885475754737854
single_probe,0,single,1,probe,5,0.9260072314049587,0.9709452479338843,0.044938016528925595,0.04390995686708776,0.43975818157196045,0.002885475754737854
single_probe,0,single,1,probe,6,0.9336260330578512,0.9683626033057852,0.03473657024793397,0.04097002013550688,0.46018579602241516,0.002885475754737854
single_probe,0,single,1,probe,7,0.9480888429752066,0.9740444214876034,0.025955578512396826,0.04020647340640926,0.47640272974967957,0.002885475754737854
single_probe,0,single,1,probe,8,0.9483471074380165,0.9740444214876034,0.02569731404958686,0.029095678144554826,0.5077736377716064,0.002885475754737854
single_probe,0,single,1,probe,9,0.9514462809917356,0.9727530991735537,0.02130681818181812,0.02608238011109376,0.540858805179596,0.002885475754737854
single_probe,0,single,1,probe,10,0.9569989669421487,0.9732696280991735,0.0162706611570248,0.038547904009047174,0.6499327421188354,0.002885475754737854
single_probe,0,single,1,probe,11,0.950154958677686,0.965779958677686,0.015625,0.03577171277775004,0.7071698307991028,0.002885475754737854
single_probe,0,single,1,probe,12,0.9537706611570248,0.9697830578512396,0.016012396694214837,0.038215184052124984,0.7817326188087463,0.002885475754737854
single_probe,0,single,1,probe,13,0.9337551652892562,0.9598398760330578,0.026084710743801587,0.03260076745832374,0.820238471031189,0.002885475754737854
single_probe,0,single,1,probe,14,0.9426652892561984,0.9642303719008263,0.021565082644627864,0.022548018692261196,0.8748526573181152,0.002885475754737854
single_probe,0,single,1,probe,15,0.909607438016529,0.9486053719008265,0.03899793388429751,0.0023313681640507733,1.3720848560333252,0.002885475754737854
single_svd_k1,0,single,1,svd,0,0.9354338842975206,0.9354338842975206,0.0,0.08608547876401407,0.5463799834251404,0.012868250720202923
single_svd_k1,0,single,1,svd,1,0.8268336776859505,0.9518336776859504,0.12499999999999989,0.04922714314032739,0.3479568064212799,0.012868250720202923
single_svd_k1,0,single,1,svd,2,0.8923037190082643,0.9585485537190082,0.06624483471074383,0.04832434070384606,0.41599446535110474,0.012868250720202923
single_svd_k1,0,single,1,svd,3,0.9270402892561984,0.9701704545454546,0.04313016528925617,0.053313661233597154,0.4252879023551941,0.012868250720202923
single_svd_k1,0,single,1,svd,4,0.9319473140495869,0.9736570247933884,0.04170971074380159,0.04312396796671325,0.45898666977882385,0.012868250720202923
single_svd_k1,0,single,1,svd,5,0.9245867768595041,0.9709452479338843,0.04635847107438018,0.046912862795494004,0.4631005823612213,0.012868250720202923
single_svd_k1,0,single,1,svd,6,0.9368543388429752,0.9683626033057852,0.031508264462809965,0.04344805653845263,0.48435938358306885,0.012868250720202923
single_svd_k1,0,single,1,svd,7,0.9474431818181819,0.9740444214876034,0.026601239669421517,0.04149404819222424,0.49579915404319763,0.012868250720202923
single_svd_k1,0,single,1,svd,8,0.9477014462809916,0.9740444214876034,0.026342975206611774,0.030254696917078827,0.5274350047111511,0.012868250720202923
single_svd_k1,0,single,1,svd,9,0.9502840909090908,0.9727530991735537,0.022469008264462853,0.02722913805825966,0.5598223805427551,0.012868250720202923
single_svd_k1,0,single,1,svd,10,0.9590650826446281,0.9732696280991735,0.014204545454545414,0.0413140390462714,0.6840611100196838,0.012868250720202923
single_svd_k1,0,single,1,svd,11,0.9508006198347108,0.965779958677686,0.014979338842975198,0.03757468635066186,0.734555184841156,0.012868250720202923
single_svd_k1,0,single,1,svd,12,0.9573863636363636,0.9697830578512396,0.012396694214875992,0.039703277645286805,0.8065699338912964,0.012868250720202923
single_svd_k1,0,single,1,svd,13,0.9365960743801652,0.9598398760330578,0.023243801652892526,0.03291608572511118,0.8356133103370667,0.012868250720202923
single_svd_k1,0,single,1,svd,14,0.9407283057851239,0.9642303719008263,0.02350206611570238,0.022783416354536623,0.888998806476593,0.012868250720202923
single_svd_k1,0,single,1,svd,15,0.9190340909090909,0.9486053719008265,0.02957128099173556,0.0024545695362245823,1.404966115951538,0.012868250720202923
single_svd_k2,0,single,2,svd,0,0.9354338842975206,0.9354338842975206,0.0,0.08608547876401407,0.5463799834251404,0.051941581070423126
single_svd_k2,0,single,2,svd,1,0.8087551652892562,0.9518336776859504,0.14307851239669422,0.041977861106825665,0.3110390603542328,0.051941581070423126
single_svd_k2,0,single,2,svd,2,0.8735795454545454,0.9585485537190082,0.08496900826446274,0.04673014766063366,0.389335036277771,0.051941581070423126
single_svd_k2,0,single,2,svd,3,0.9204545454545455,0.9701704545454546,0.04971590909090906,0.052842533687037285,0.4108913242816925,0.051941581070423126
single_svd_k2,0,single,2,svd,4,0.9244576446280992,0.9736570247933884,0.04919938016528924,0.043140890483042704,0.44740939140319824,0.051941581070423126
single_svd_k2,0,single,2,svd,5,0.9152892561983471,0.9709452479338843,0.05565599173553715,0.045688628415064714,0.4491899013519287,0.051941581070423126
single_svd_k2,0,single,2,svd,6,0.9243285123966942,0.9683626033057852,0.04403409090909094,0.04251127161729529,0.47208720445632935,0.051941581070423126
single_svd_k2,0,single,2,svd,7,0.9368543388429751,0.9740444214876034,0.03719008264462831,0.04054935454042119,0.48357945680618286,0.051941581070423126
single_svd_k2,0,single,2,svd,8,0.9429235537190083,0.9740444214876034,0.03112086776859513,0.029748519652759597,0.5161997079849243,0.051941581070423126
single_svd_k2,0,single,2,svd,9,0.9452479338842976,0.9727530991735537,0.02750516528925606,0.02696374630007181,0.5489479303359985,0.051941581070423126
single_svd_k2,0,single,2,svd,10,0.953125,0.9732696280991735,0.0201446280991735,0.041672940662962676,0.6772110462188721,0.051941581070423126
single_svd_k2,0,single,2,svd,11,0.9483471074380165,0.965779958677686,0.017432851239669422,0.03801908362718154,0.7303605675697327,0.051941581070423126
single_svd_k2,0,single,2,svd,12,0.9554493801652892,0.9697830578512396,0.014333677685950397,0.04019582224277518,0.8020461797714233,0.051941581070423126
single_svd_k2,0,single,2,svd,13,0.9338842975206612,0.9598398760330578,0.025955578512396604,0.03315048131187137,0.8309863209724426,0.051941581070423126
single_svd_k2,0,single,2,svd,14,0.9395661157024794,0.9642303719008263,0.02466425619834689,0.022978241413198153,0.8889362215995789,0.051941581070423126
single_svd_k2,0,single,2,svd,15,0.9142561983471074,0.9486053719008265,0.03434917355371914,0.0024681264785556545,1.4340463876724243,0.051941581070423126
single_svd_k4,0,single,4,svd,0,0.9354338842975206,0.9354338842975206,0.0,0.08608547876401407,0.5463799834251404,0.2194322943687439
single_svd_k4,0,single,4,svd,1,0.7710485537190084,0.9518336776859504,0.18078512396694202,0.026748684833046488,0.3372696340084076,0.2194322943687439
single_svd_k4,0,single,4,svd,2,0.834581611570248,0.9585485537190082,0.12396694214876014,0.03360314637227768,0.34591493010520935,0.2194322943687439
single_svd_k4,0,single,4,svd,3,0.8724173553719008,0.9701704545454546,0.09775309917355379,0.046149768125052115,0.36358848214149475,0.2194322943687439
single_svd_k4,0,single,4,svd,4,0.8864927685950412,0.9736570247933884,0.08716425619834722,0.04818820127775558,0.41458508372306824,0.2194322943687439
single_svd_k4,0,single,4,svd,5,0.8974690082644629,0.9709452479338843,0.0734762396694214,0.047167305489344,0.41802823543548584,0.2194322943687439
single_svd_k4,0,single,4,svd,6,0.9145144628099174,0.9683626033057852,0.053848140495867725,0.04203034084742574,0.4461594820022583,0.2194322943687439
single_svd_k4,0,single,4,svd,7,0.918646694214876,0.9740444214876034,0.055397727272727404,0.03822856658588414,0.4535342752933502,0.2194322943687439
single_svd_k4,0,single,4,svd,8,0.9288481404958677,0.9740444214876034,0.04519628099173567,0.02769492965993381,0.477203369140625,0.2194322943687439
single_svd_k4,0,single,4,svd,9,0.937370867768595,0.9727530991735537,0.035382231404958664,0.027078075781120092,0.5145663022994995,0.2194322943687439
single_svd_k4,0,single,4,svd,10,0.9438274793388429,0.9732696280991735,0.029442148760330578,0.0427596444063435,0.6508069038391113,0.2194322943687439
single_svd_k4,0,single,4,svd,11,0.9447314049586776,0.965779958677686,0.021048553719008378,0.0405194515860382,0.7214270234107971,0.2194322943687439
single_svd_k4,0,single,4,svd,12,0.949896694214876,0.9697830578512396,0.019886363636363646,0.04257595633388944,0.8010594248771667,0.2194322943687439
single_svd_k4,0,single,4,svd,13,0.9315599173553719,0.9598398760330578,0.028279958677685846,0.03279410400603844,0.841046929359436,0.2194322943687439
single_svd_k4,0,single,4,svd,14,0.9399535123966942,0.9642303719008263,0.024276859504132053,0.022261031518597596,0.8976932168006897,0.2194322943687439
