layer,n_neurons,total_abs_diff_proj,top_1pct_mass,top_5pct_mass,top_10pct_mass,top_25pct_mass,top_50pct_mass
0,16384,5.980932300678948,0.09793414963260355,0.22939406431332476,0.33711423935532936,0.557290826439201,0.78595382277031
1,16384,3.2288690184671864,0.10409026439447373,0.24361032341110384,0.3497735554830819,0.5622679686758102,0.7866787306663061
2,16384,5.056740279220009,0.07976744038644104,0.20599956633196376,0.3125751042289879,0.5342265946477156,0.7723299917879753
3,16384,5.683832723825165,0.07555840714850473,0.20873162017625438,0.31870163292794323,0.5434112500638069,0.7793895555394035
4,16384,6.147214378772264,0.07445068161886732,0.20851838333329956,0.3198655099499855,0.5469358216527623,0.7820734795743293
5,16384,6.014562996563151,0.09466456835915997,0.23797434889462243,0.35244371276626385,0.5786600160425313,0.8021105008860161
6,16384,5.7943766771450615,0.09254016450890207,0.23826109336470266,0.3549955083676284,0.5849133834229094,0.8085729127437142
7,16384,6.021319395638356,0.12197220247879721,0.2642512684920211,0.3766384170847376,0.5987619333252536,0.8153121673638118
8,16384,5.665677059792337,0.12425820185377671,0.2605404230728313,0.3713524859694197,0.5900014394834486,0.8092469989781196
9,16384,5.7009658060230075,0.09842544513223522,0.23545335368977577,0.3480108341715453,0.5725438249793104,0.7995098674068373
10,16384,5.262140785260507,0.08852313505001104,0.22390713839691084,0.3357569242133335,0.5627660254504604,0.7960973312212363
11,16384,5.061280157471296,0.08066335761380565,0.21797013450093503,0.331830803976201,0.5607641944111607,0.793421317292263
12,16384,5.323552388780921,0.09907067400353389,0.23763240403827568,0.35137201971818266,0.5782699050914664,0.8030870394278681
13,16384,5.050691656306896,0.1003032880232629,0.23804939699259042,0.34978290531808787,0.5728181913390086,0.7985634684279642
14,16384,4.638543511301126,0.09278625909290142,0.22377056203242002,0.3337185365486034,0.5586781267131627,0.7902320202632381
15,16384,4.510106448838128,0.10132638791498881,0.23046363864781813,0.3388857704240991,0.5620255080214221,0.7925312990078512
16,16384,4.604558841154692,0.08961419504047087,0.2231571696194109,0.3341768007293234,0.5588851989563794,0.7894438308524535
17,16384,4.4801115432271175,0.10066870235984575,0.233473947617044,0.34361033577016015,0.5635504701210603,0.7912096534404613
18,16384,4.52396922648747,0.08638787274056209,0.21766233952987182,0.32854855957041695,0.5549294501769008,0.7882577510664964
19,16384,4.530741328996268,0.09561610908564447,0.22534576569304884,0.3351163568996475,0.5569911751773007,0.7875333735571343
20,16384,4.299456531174764,0.09711295749521616,0.22303722949033364,0.33200080885294764,0.5541997509628381,0.7842909245867147
21,16384,4.17629784422138,0.07115885880020999,0.19787449464560644,0.30783819596709056,0.5361052523003649,0.7756404709084801
22,16384,4.306509557783903,0.068142780150537,0.1974545974300883,0.30832455508713497,0.5365908074779369,0.7748782328445055
23,16384,4.300467339240801,0.06874322425083605,0.19471783762891312,0.30446347465841633,0.5318119212593019,0.7728837029560522
24,16384,4.279337255012166,0.06568403232248478,0.19298488995646668,0.30262440122845113,0.5313576982172985,0.7736683520352493
25,16384,4.648330733998437,0.07046934308323591,0.1983113677054197,0.30811550186727843,0.5358056755818694,0.7750249348516616
26,16384,4.738325309989754,0.061741770056392066,0.1869143626935758,0.2966487279324516,0.5255759432470731,0.7694305222585658
27,16384,4.577461999994549,0.061833872205203394,0.18626161869215258,0.29558208628131427,0.5250513203687731,0.7686113043916273
28,16384,5.041958258200885,0.07361344157201226,0.19714025961847548,0.30555572780812085,0.5308221612398313,0.7722410306883832
29,16384,4.8925828115261885,0.0665430353246038,0.1957809832477021,0.3071868455770252,0.5366859174455338,0.7766391740044456
30,16384,5.540184859907358,0.10356237948673308,0.24360090698684805,0.3536807130693162,0.5720772791459009,0.7955438217875663
31,16384,7.478580015005233,0.14611655952131458,0.3388797146035346,0.4595785284769548,0.6606429670576262,0.8442901700190394
