layer,pct,mean_jaccard,std_jaccard,n_pairs
0,5.0,0.049132933336190225,0.017285808317762465,10
1,5.0,0.048330732726950903,0.015001281993267465,10
2,5.0,0.04369921198171529,0.01129906025350365,10
3,5.0,0.04342751806516772,0.013847011875663789,10
4,5.0,0.048759410497599805,0.010440309888483703,10
5,5.0,0.05512564270824878,0.01866307055559037,10
6,5.0,0.05291592386927928,0.019412757027740448,10
7,5.0,0.061828371415403226,0.018798522421561062,10
8,5.0,0.06149651967969318,0.01707975175487354,10
9,5.0,0.05804496107694627,0.018422215863275183,10
10,5.0,0.06204076950980615,0.01692417442285944,10
11,5.0,0.05480945812277906,0.015030540497987643,10
12,5.0,0.06870090116586036,0.019402848657312923,10
13,5.0,0.05888864702961799,0.019051976617806946,10
14,5.0,0.05735710244994062,0.013598268787303476,10
15,5.0,0.05743284648318749,0.013894143353819976,10
16,5.0,0.05936965290544236,0.017155506393418483,10
17,5.0,0.06586602029454655,0.017735394016244233,10
18,5.0,0.05525121428685873,0.013790177260170821,10
19,5.0,0.057241250921287436,0.014395323214663629,10
20,5.0,0.05255027227877949,0.0165305078172104,10
21,5.0,0.04839958677276281,0.01507874474888864,10
22,5.0,0.04642911573103119,0.016380515659767877,10
23,5.0,0.045889404552443815,0.010908931530692735,10
24,5.0,0.044831969243259426,0.011358891544732642,10
25,5.0,0.04349010104484203,0.013749154857367753,10
26,5.0,0.04187861602270458,0.015440927592472675,10
27,5.0,0.04256971449671408,0.011298527818869425,10
28,5.0,0.04569054229666659,0.01096302336290778,10
29,5.0,0.04644880182048469,0.008610968091835057,10
30,5.0,0.06809825881441234,0.015781799112935768,10
31,5.0,0.13589721312659592,0.02788559196522057,10
