condition,layer,n_ablated,ablate_layers,dataset,frequency_auroc,frequency_auroc_std,frequency_accuracy,semantic_auroc,semantic_auroc_std,semantic_accuracy,cosine_dist,euclidean_dist
clean,0,0,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
clean,1,0,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
clean,2,0,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
clean,3,0,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
clean,4,0,"4,5",emotion,0.9243856332703213,0.016865563722643074,0.8260869565217392,0.8589628961133895,0.04761991561380031,0.5217391304347826,0.016828124522985766,2.225947618484497
clean,5,0,"4,5",emotion,0.9085066162570887,0.01873650161567316,0.8434782608695652,0.8749576949001292,0.03951755078496528,0.5434782608695652,0.00035848452848097345,2.9906599521636963
affinity_5pct,0,204,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
affinity_5pct,1,204,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
affinity_5pct,2,204,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
affinity_5pct,3,204,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
affinity_5pct,4,204,"4,5",emotion,0.9247637051039697,0.018652395287023095,0.8217391304347826,0.8592533357541582,0.04716520292288414,0.5217391304347826,0.01712227803157429,2.2190420627593994
affinity_5pct,5,204,"4,5",emotion,0.9107750472589793,0.013388227757751038,0.8565217391304347,0.877037557197919,0.04180688085436333,0.5543478260869565,0.00035281124471009395,3.0567216873168945
coverage_5pct,0,204,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
coverage_5pct,1,204,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
coverage_5pct,2,204,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
coverage_5pct,3,204,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
coverage_5pct,4,204,"4,5",emotion,0.9281663516068053,0.014246838322432325,0.8347826086956521,0.8657884056732741,0.045864539591125984,0.5543478260869565,0.01283293876694458,2.2580389976501465
coverage_5pct,5,204,"4,5",emotion,0.9043478260869566,0.018583297886494543,0.8304347826086957,0.8757348805251766,0.04211708887477617,0.5271739130434783,0.0012434577490039178,3.003845691680908
mass_5pct,0,204,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
mass_5pct,1,204,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
mass_5pct,2,204,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
mass_5pct,3,204,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
mass_5pct,4,204,"4,5",emotion,0.920226843100189,0.015141765137618711,0.8478260869565217,0.8663144603934078,0.04995386504966942,0.5434782608695652,0.012453386150999779,2.2182884216308594
mass_5pct,5,204,"4,5",emotion,0.907750472589792,0.014662169701070173,0.8043478260869564,0.8904710580903015,0.04654666999325193,0.5706521739130435,0.001345410911789302,2.5683748722076416
random_5pct_seed0,0,204,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
random_5pct_seed0,1,204,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
random_5pct_seed0,2,204,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
random_5pct_seed0,3,204,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
random_5pct_seed0,4,204,"4,5",emotion,0.9247637051039698,0.018728871193195936,0.8304347826086957,0.8603821343130553,0.04606503932256552,0.532608695652174,0.016358933859651037,2.196209669113159
random_5pct_seed0,5,204,"4,5",emotion,0.9081285444234405,0.013345453757824432,0.8521739130434783,0.8840386062219944,0.037067241636377014,0.5706521739130435,0.00044031725378468334,2.6817471981048584
random_5pct_seed1,0,204,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
random_5pct_seed1,1,204,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
random_5pct_seed1,2,204,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
random_5pct_seed1,3,204,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
random_5pct_seed1,4,204,"4,5",emotion,0.9258979206049147,0.024425898382174842,0.826086956521739,0.8622513017866638,0.04560604988503276,0.532608695652174,0.015103773331942794,2.2141473293304443
random_5pct_seed1,5,204,"4,5",emotion,0.9156899810964083,0.01628783306505711,0.8565217391304347,0.8770541410344042,0.04026410648721974,0.5597826086956522,0.0003843517566036736,2.6933345794677734
random_5pct_seed2,0,204,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
random_5pct_seed2,1,204,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
random_5pct_seed2,2,204,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
random_5pct_seed2,3,204,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
random_5pct_seed2,4,204,"4,5",emotion,0.9255198487712665,0.024952741020793947,0.8260869565217392,0.8602575923710792,0.04606838288933501,0.5163043478260869,0.017063861597331753,2.191190242767334
random_5pct_seed2,5,204,"4,5",emotion,0.9122873345935728,0.023507435246442047,0.8521739130434781,0.8739432031784006,0.03891751819993146,0.5489130434782609,0.00038099367299126996,2.5493760108947754
random_5pct_seed3,0,204,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
random_5pct_seed3,1,204,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
random_5pct_seed3,2,204,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
random_5pct_seed3,3,204,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
random_5pct_seed3,4,204,"4,5",emotion,0.9213610586011344,0.019151493598357557,0.8173913043478261,0.854392550979722,0.04787238656310712,0.5108695652173914,0.01602767816033923,2.205101490020752
random_5pct_seed3,5,204,"4,5",emotion,0.9085066162570887,0.011442530019222364,0.8217391304347826,0.8662685952570821,0.03833949492423222,0.5652173913043479,0.0004604084866961511,2.8337175846099854
random_5pct_seed4,0,204,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
random_5pct_seed4,1,204,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
random_5pct_seed4,2,204,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
random_5pct_seed4,3,204,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
random_5pct_seed4,4,204,"4,5",emotion,0.9243856332703213,0.02014807197652058,0.8173913043478261,0.8610424320745045,0.047706791640064396,0.5434782608695652,0.01599481377882317,2.1951375007629395
random_5pct_seed4,5,204,"4,5",emotion,0.9221172022684309,0.011979568633463004,0.8434782608695652,0.8814837757271967,0.0382050809018247,0.5815217391304348,0.00035633239591603694,2.8113832473754883
affinity_10pct,0,408,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
affinity_10pct,1,408,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
affinity_10pct,2,408,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
affinity_10pct,3,408,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
affinity_10pct,4,408,"4,5",emotion,0.924007561436673,0.021830170182611807,0.8347826086956521,0.8589035028385357,0.04697094313767015,0.532608695652174,0.01764464538700672,2.225248098373413
affinity_10pct,5,408,"4,5",emotion,0.9122873345935728,0.015338724215577167,0.8565217391304347,0.8729213540479988,0.04089945686116183,0.5489130434782609,0.00036763152924879083,3.166600465774536
coverage_10pct,0,408,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
coverage_10pct,1,408,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
coverage_10pct,2,408,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
coverage_10pct,3,408,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
coverage_10pct,4,408,"4,5",emotion,0.924007561436673,0.014515201376523597,0.8565217391304347,0.8686123452570822,0.05293723751214131,0.5380434782608696,0.012617548697473557,2.3046491146087646
coverage_10pct,5,408,"4,5",emotion,0.91531190926276,0.014465880128324407,0.8478260869565217,0.8832472397850687,0.054427059830308586,0.5434782608695652,0.002176816257590586,2.57639479637146
mass_10pct,0,408,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
mass_10pct,1,408,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
mass_10pct,2,408,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
mass_10pct,3,408,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
mass_10pct,4,408,"4,5",emotion,0.9330812854442344,0.017184602158583778,0.8565217391304347,0.8721199305080884,0.04430879683112402,0.5380434782608695,0.012972773273148164,2.2422406673431396
mass_10pct,5,408,"4,5",emotion,0.9232514177693762,0.011125851772825804,0.8434782608695652,0.872476023154477,0.04690405649800378,0.5271739130434783,0.0023004171055147626,2.6642606258392334
random_10pct_seed0,0,408,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
random_10pct_seed0,1,408,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
random_10pct_seed0,2,408,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
random_10pct_seed0,3,408,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
random_10pct_seed0,4,408,"4,5",emotion,0.9319470699432892,0.023213733736119065,0.8434782608695652,0.860484871031746,0.050221911037250225,0.5543478260869565,0.017751829176148815,2.2194504737854004
random_10pct_seed0,5,408,"4,5",emotion,0.9096408317580339,0.01918132460335097,0.8304347826086957,0.8818471071143769,0.049640247107093506,0.5815217391304348,0.0005366041458786386,2.9015913009643555
random_10pct_seed1,0,408,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
random_10pct_seed1,1,408,"4,5",emotion,0.9368620037807183,0.025519148628636995,0.8652173913043478,0.8452877874136098,0.06160905932978463,0.5108695652173914,0.04335296901742525,2.777412176132202
random_10pct_seed1,2,408,"4,5",emotion,0.9311909262759925,0.03271140778271946,0.8565217391304347,0.8549900734316853,0.051387740838431485,0.5108695652173914,0.0667870362695352,3.3058395385742188
random_10pct_seed1,3,408,"4,5",emotion,0.9565217391304348,0.020005680991036636,0.8956521739130434,0.8633922638034479,0.05847759119292612,0.5434782608695652,0.02029962595076429,2.3495118618011475
random_10pct_seed1,4,408,"4,5",emotion,0.9364839319470699,0.02582537823506701,0.8434782608695652,0.8608788780663781,0.048275086807444585,0.5489130434782609,0.014567678330286493,2.1942365169525146
random_10pct_seed1,5,408,"4,5",emotion,0.9179584120982988,0.011628398109058352,0.8521739130434783,0.8762670169742539,0.03614512951863243,0.5543478260869565,0.00043206155835628923,2.781583070755005
random_10pct_seed2,0,408,"4,5",emotion,0.9368620037807183,0.021205752230442607,0.8478260869565218,0.8227409195336828,0.039934640489146495,0.4945652173913043,0.09537009705524635,2.98159122467041
