layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.9752066115702479,0.9999999999997153,0.00015857966274397195,0.022096517881564193,medical
1,1.0,0.9999999999997166,0.00010013364384212699,0.022096860031531496,medical
2,1.0,0.9999999999997131,5.296738722710933e-05,0.02209702342976561,medical
3,1.0,0.999999999999714,1.3505920523166346e-05,0.022097082784608278,medical
4,1.0,0.9999999999997135,1.1469831317661636e-05,0.02209708393527729,medical
5,1.0,0.9999999999997125,-0.00010696083233444696,0.02209682803888525,medical
6,1.0,0.9999999999997118,-0.00010450630497041777,0.02209683978382293,medical
7,1.0,0.9999999999997121,-7.505127474624645e-05,0.022096959458393316,medical
8,1.0,0.9999999999997118,-1.1653457473111888e-05,0.022097083839200306,medical
9,1.0,0.9999999999997083,6.347354848144988e-05,0.022096995748480345,medical
10,1.0,0.9999999999997055,7.467841476382911e-05,0.022096960721648594,medical
11,1.0,0.9999999999996996,6.986227231286216e-05,0.022096976473323537,medical
12,1.0,0.999999999999692,0.00015735411680585704,0.022096526642927924,medical
13,1.0,0.9999999999996834,0.00017178673451701107,0.022096419151471914,medical
14,1.0,0.9999999999996716,0.00020080043444578352,0.022096174537353876,medical
15,0.9917355371900827,0.9999999999996382,0.00026379362993303836,0.02209551228010913,medical
