layer,probe_auroc,freq_dir_norm,freq_dir_mean,freq_dir_std,dataset
0,0.9829867674858224,0.9999999999997911,0.0003631974940737483,0.022094101873126555,emotion
1,0.9886578449905483,0.9999999999997947,0.0007233304449052731,0.022085244917529726,emotion
2,0.9829867674858224,0.9999999999997948,0.0006514237409949913,0.022087482815148215,emotion
3,0.9886578449905481,0.9999999999997979,0.0006152750018130592,0.022088519340869063,emotion
4,0.9867674858223062,0.9999999999997978,0.0005784391422835027,0.022089514665525747,emotion
5,0.9810964083175804,0.9999999999997984,0.0005069733837506567,0.02209127040230986,emotion
6,0.9792060491493384,0.9999999999997965,0.00048714580463892843,0.022091716523729522,emotion
7,0.9792060491493384,0.9999999999997963,0.00047144907534041124,0.022092057074187585,emotion
8,0.9810964083175804,0.9999999999997955,0.0003992110608873336,0.022093480498297808,emotion
9,0.9773156899810964,0.9999999999997934,0.0004139204566755107,0.022093209813319203,emotion
10,0.9754253308128544,0.9999999999997845,0.00039870933890917386,0.022093489558303286,emotion
11,0.9848771266540643,0.9999999999997812,0.0003784358078241387,0.02209384611920575,emotion
12,0.9810964083175804,0.9999999999997747,0.00040370305827288917,0.02209339887478885,emotion
13,0.9640831758034026,0.9999999999997692,0.00041191837693737497,0.02209324723191491,emotion
14,0.9735349716446124,0.9999999999997666,0.00038176115132601855,0.022093788910531178,emotion
15,0.9413988657844992,0.9999999999997543,0.0002622223187552596,0.02209553098378282,emotion
